date,lead,time,int,time2
Oct-93,8.729373472,1,0,0
Nov-93,7.598977509,2,0,0
Dec-93,6.756465512,3,0,0
Jan-94,8.294781648,4,0,0
Feb-94,7.013404875,5,0,0
Mar-94,6.742231815,6,0,0
Apr-94,6.820509665,7,0,0
May-94,6.666275446,8,0,0
Jun-94,8.233997338,9,0,0
Jul-94,8.866013864,10,0,0
Aug-94,8.395928618,11,0,0
Sep-94,8.080282219,12,0,0
Oct-94,7.379208621,13,0,0
Nov-94,7.665268185,14,0,0
Dec-94,6.850766885,15,0,0
Jan-95,7.811869439,16,0,0
Feb-95,8.451023852,17,0,0
Mar-95,7.024977413,18,0,0
Apr-95,7.232733195,19,0,0
May-95,6.801850449,20,0,0
Jun-95,7.02707679,21,0,0
Jul-95,8.053036296,22,0,0
Aug-95,7.533779187,23,0,0
Sep-95,7.104899383,24,0,0
Oct-95,6.706660922,25,0,0
Nov-95,6.631385124,26,0,0
Dec-95,6.603571903,27,0,0
Jan-96,6.867657687,28,0,0
Feb-96,7.486555411,29,0,0
Mar-96,7.116773766,30,0,0
Apr-96,6.505546365,31,0,0
May-96,6.448595144,32,0,0
Jun-96,6.759881768,33,0,0
Jul-96,7.550717561,34,0,0
Aug-96,7.099986623,35,0,0
Sep-96,7.197573102,36,0,0
Oct-96,7.109005069,37,0,0
Nov-96,6.165634185,38,0,0
Dec-96,6.307747249,39,0,0
Jan-97,6.538749897,40,0,0
Feb-97,6.5337464,41,0,0
Mar-97,6.085235333,42,0,0
Apr-97,6.471981362,43,0,0
May-97,6.214966284,44,0,0
Jun-97,5.723100477,45,0,0
Jul-97,6.796245314,46,0,0
Aug-97,7.319165363,47,0,0
Sep-97,7.94290518,48,0,0
Oct-97,6.990840554,49,0,0
Nov-97,6.451558955,50,0,0
Dec-97,6.443131631,51,0,0
Jan-98,6.238347977,52,0,0
Feb-98,6.310180617,53,0,0
Mar-98,7.01493677,54,0,0
Apr-98,7.010086216,55,0,0
May-98,6.935602305,56,0,0
Jun-98,6.812658324,57,0,0
Jul-98,6.887018068,58,0,0
Aug-98,7.871979062,59,0,0
Sep-98,7.072209862,60,0,0
Oct-98,6.276782447,61,0,0
Nov-98,6.134913018,62,0,0
Dec-98,6.39010436,63,0,0
Jan-99,5.839499552,64,0,0
Feb-99,5.650194108,65,0,0
Mar-99,5.508019934,66,0,0
Apr-99,5.891001399,67,0,0
May-99,6.792197996,68,0,0
